Tweet Date,cleaned_text,Sentiment
2024-02-28 13:23:07+00:00,annual general meeting of shareholders rups of bank bri bank bni bank mandiri and bank bca bank bri gms date march bank bni gms date march bank mandiri gms date march bank bca gms date march it seems that all of them are discussing the interim dividend projection,Neutral
2024-02-28 12:59:41+00:00,guys what app do you use to buy bbca,Neutral
2024-02-28 12:07:09+00:00,thats right yesterday he just bought lots of bbca shares,Neutral
2024-02-28 10:13:42+00:00,shm finally bbca broke through k hopefully there will be no more stock split,Positive
2024-02-28 04:58:03+00:00,bmri gt cum date gt mar bbni gt cum date gt mar bbca gt cum date gt mar bonus simulation has been reduced to million stock savings bmri x bbni x bbca x total,Neutral
2024-02-28 03:26:55+00:00,apple and bca have never lost bro,Positive
2024-02-28 00:43:09+00:00,bbca can collapse in night bro,Neutral
2024-02-27 15:38:45+00:00,idx and crypto stocks are both inefficient markets example brens market cap has passed bbca bbri how much is the asset issuer valuation t there are fried stocks and also shitcoin so i play both just different goals in my stocks low volatility stocks high dividends,Neutral
2024-02-27 11:45:45+00:00,i dont want to i want a new cellphone ip along with bca shares,Positive
2024-02-27 09:33:29+00:00,which trader are we inviting this time whoever can guess can get the rdn balance giveaway referral bluechip to get shares check it out,Neutral
2024-02-27 05:27:34+00:00,bca share prices touch rp heres the board of directors response to stock split rumors,Neutral
2024-02-27 04:43:39+00:00,goals this year target to have lots of bbca shares but what can i do salary is below the minimum wage im trying my hardest so i have an investment for my old age,Positive
2024-02-27 01:33:43+00:00,a house in citraland a villa in ubud m cash kg gold bars at least slots of bca shares at least slots of sinarmas shares and umrah once a month,Positive
2024-02-27 00:55:57+00:00,trading tuesday bbni klbf bren tpia arko and amrt ihsg technical view ihsg closed down yesterday accompanied by a foreign net sell of billion the stocks most sold by foreigners were bbca bmri adro tlkm and klbf,Negative
2024-02-27 00:33:34+00:00,foreign investors sell stocks until ihsg drops bbca is the biggest,Negative
2024-02-26 18:45:52+00:00,bca shares paragon shares lvmh shares thats all,Neutral
2024-02-26 18:40:14+00:00,well how can they significantly reduce their shares if every time they are given a big promo they immediately queue up mukdi is an example yesterday during bcas anniversary they gave a big cashback mukdi was immediately crowded even though its usually quiet on weekdays,Neutral
2024-02-26 10:34:44+00:00,i want to buy bbca shares but i think i have to win first,Positive
2024-02-26 10:15:15+00:00,happy birthday bang timos girlfriend you said youre going to give away bbca shares today right,Positive
2024-02-26 09:34:35+00:00,ihsg weakens to byan bbca tlkm shares anchor,Negative
2024-02-26 06:18:08+00:00,i just want to be given lots of bbca shares this year nothing fancy,Positive
2024-02-26 02:25:09+00:00,ihsg opens lower at the start of the week jumbo bank shares bmri bbca bbri fall,Negative
2024-02-26 02:20:16+00:00,the remaining idle money after paying installments etc is several million when should i scoop up banking stocks any suggestions on websitessimilar so i can analyze it myself currently the sender is only for investment not trading holding bbca bbni bbri bmri thank you for those who want to answer cont,Neutral
2024-02-26 00:41:31+00:00,trading monday bbri bmri tlkm bbtn film and bris ihsg technical view ihsg closed down last friday and was accompanied by a foreign net sell of trillion the stocks most sold by foreigners were bmri bbri tlkm bbni and bbca,Negative
2024-02-26 00:02:58+00:00,im still a stranger uhuy what are you waiting for come join the bluechip referral and get shares hashtag,Positive
2024-02-25 11:26:56+00:00,the price of eggs is rising faster than the price of bca shares please help me,Negative
2024-02-25 08:13:28+00:00,bbri experienced stock splits meaning the real price at the moment is rp if there were no stock splits it would be rp quite expensive cheaper than bbca and dssa shares,Negative
2024-02-25 08:09:58+00:00,top bank issuers of my choice bbca bbni bbri whats yours,Positive
2024-02-25 07:39:29+00:00,now if you want to buy bca shares you have to have one million rupiah damn it the valuation is really scary,Negative
2024-02-25 07:20:49+00:00,shm first time joining a rups how do i register ive read it but i still dont understand btw rups bca thx,Neutral
2024-02-24 15:01:38+00:00,very few please read thousand lots,Positive
2024-02-24 14:32:30+00:00,bbca uses a savings system but stocks are always the same,Positive
2024-02-24 10:42:22+00:00,i want to become a priority bca and get an invitation to the general meeting of shares or something,Positive
2024-02-24 07:55:31+00:00,buy bca shares,Positive
2024-02-24 07:17:28+00:00,here i feed you man use bbca stock will you,Positive
2024-02-24 06:17:24+00:00,was told to just buy bca shares,Positive
2024-02-24 02:17:14+00:00,im going back and forth whether to lower the average or increase the bbca load,Positive
2024-02-23 23:34:15+00:00,finally my stock wishlist at the beginning of the year has been achieved bbri lots bbca lots gt soon lots bmri lots,Positive
2024-02-23 22:35:08+00:00,top news bca shares nearly idr fate of right of inquiry in pdip,Neutral
2024-02-23 19:56:52+00:00,million huh is there really a bbca under thousand,Neutral
2024-02-23 16:19:25+00:00,maybe million is what i mean just reading the price of lot is already more than k,Neutral
2024-02-23 14:11:17+00:00,equity research analyst bca sekuritas mutiara nita hopes that the provision of state capital participation pmn can help pt wijaya karya tbk wika to complete various projects that are being worked on including the project,Neutral
2024-02-23 10:16:31+00:00,years of bbca years of bmrifrom the beginning a little because of the stock split until now its tens from those who only got hundreds of thousands in dividends its already touched million,Positive
2024-02-23 04:11:16+00:00,buy bca shares on stockbit now,Positive
2024-02-23 03:49:35+00:00,stock price approaches rp bca planning another stock split,Neutral
2024-02-22 16:56:58+00:00,bbca according to the stock price trend chart based on yahoo finance sources has experienced corporate actions stock splits n meaning the price should be without stock splits times the price as of february silver aza dssa rp,Neutral
2024-02-22 16:01:52+00:00,is it better to have lots of bca shares or lots of bca and lots of bbri,Neutral
2024-02-22 14:07:09+00:00,want bbca shares lot bbri lot,Positive
2024-02-22 11:18:09+00:00,bca president director jahja setiaatmadja confirmed that the bank has not considered conducting a stock split corporate action because the current stock price is still attractive to investors,Neutral
2024-02-22 10:11:10+00:00,bca president director jahja setiaatmadja likened the dividends that will be distributed to shareholders to pocket money before eid,Positive
2024-02-22 10:09:44+00:00,want bca or gudang garam shares just lots,Positive
2024-02-22 09:47:13+00:00,for your info chipmin let me know if anyone knows or doesnt know come on the bluechip referral promo is still available check here hashtagurl,Positive
2024-02-22 07:30:42+00:00,give bca shares,Positive
2024-02-22 07:11:30+00:00,spreading anniversary discounts bca shares actually collapsed,Negative
2024-02-22 06:30:26+00:00,now attending the shm bbca gms doesnt require a ktur so how do you confirm your attendance offline or just come directly to the place according to the schedule,Neutral
2024-02-22 03:54:35+00:00,btpn to conduct rights issue of rp t bca takes million shares,Neutral
2024-02-22 03:24:56+00:00,accumulation of shares of bbca bbri bnii arto in warteg portfolio by jo ot c neh as of february contrarian seh,Neutral
2024-02-22 03:13:31+00:00,just lots of bbca shares,Positive
2024-02-22 02:02:13+00:00,bbca shares just lots,Positive
2024-02-22 00:41:10+00:00,bank btpn is ready to hold a rights issue of idr trillion in which bca will take part to maintain at least ownership,Neutral
2024-02-21 23:48:34+00:00,ihsg predicted to rebound bbca to mdka stocks recommended,Positive
2024-02-21 16:39:47+00:00,yes i passed the ui medical school through simak but i slept for minutes during the test not because i was smart but because the questions were too difficult so i mostly answered randomly and luckily i passed i have never bought shares of the big banks bbcabbribbnibmri in my entire life,Neutral
2024-02-21 14:42:07+00:00,bca shares are only no need for lots,Positive
2024-02-21 11:46:34+00:00,if the electricity goes out every afternoon and you have to keep candles burning like this i wonder if i should buy bca shares or pln shares,Neutral
2024-02-21 09:40:05+00:00,bbca king of ihsg follow me and move your shares to bluechip for free tis tis hashtagurl,Positive
2024-02-21 09:10:34+00:00,ihsg down thin after bi rate fixed bbcagoto stock sluggish,Negative
2024-02-21 08:14:05+00:00,hbd bca bagi lot saham dong,Positive
2024-02-21 05:06:53+00:00,learn skills first boss the son of the bca owner became a director read become a director are the people complaining no in fact bca shares are still rising and bca services are still accepted by the majority of the people,Positive
2024-02-21 04:51:01+00:00,this is called envy boss life is indeed not fair if privilege is used for the right thing why not not all of the children of the bca owner became ceos but some were appointed ceos and as long as they can work the public is okay with it in fact bcas stock price continues to rise,Positive
2024-02-21 02:40:35+00:00,the performance of shares of major banks such as himbara and pt bank central asia tbk bbca is increasingly soaring,Positive
2024-02-21 02:26:05+00:00,ihsg opens weaker away from ath level bbca goto to ammn shares slip,Negative
2024-02-21 02:06:35+00:00,trading idea wednesday medc mapi adro bren icbp and arto ihsg technical view ihsg closed up yesterday and was accompanied by a foreign net buy of trillion the stocks most bought by foreigners were bbri tlkm bbca bbni and goto,Positive
2024-02-21 01:13:16+00:00,isnt it the same million increases by in bca or bnga you both get million thousand bro,Neutral
2024-02-20 23:52:34+00:00,bca bbca shares broke through idr in trading on february yesterday,Positive
2024-02-20 19:07:29+00:00,a just buy bsi bca bri shares kg of gold the rest can be invested in trading next month you can generate,Positive
2024-02-20 16:30:20+00:00,gw gangerti play shares but bbca now billion chain successful cm buy little,Positive
2024-02-20 16:07:53+00:00,i think the bbca share price is crazy,Negative
2024-02-20 14:06:25+00:00,are bca shares going down,Negative
2024-02-20 11:55:12+00:00,fantastic binus serpong high school fees equivalent to bbca shares,Neutral
2024-02-20 04:35:41+00:00,banking under bbri bbca bmri bbni to reduce the volatility of culture shock,Positive
2024-02-20 02:48:23+00:00,i also want to be that age when im bored and buy all the bca shares,Positive
2024-02-20 02:38:59+00:00,bbca good business example its eps increases over time in years its eps has grown almost percent,Positive
2024-02-19 15:40:18+00:00,tempted by bbcabbr shares its okay just buy or lots,Positive
2024-02-19 12:11:29+00:00,this is another life goal to have lots of bbca shares,Positive
2024-02-19 11:47:26+00:00,inside there is a land certificate and bbca share certificates it would be a shame if they were removed,Positive
2024-02-19 10:06:14+00:00,presidential election quick count effect eases ihsg leaves pressured by bbca shares et al,Negative
2024-02-19 08:41:34+00:00,wrong bca share,Positive
2024-02-19 07:53:49+00:00,sis does that mean its better to put your shares in banks like bri bni mandiri bca right sis,Neutral
2024-02-19 06:59:47+00:00,hooray ask for bbca shares,Positive
2024-02-19 06:30:34+00:00,bmri nder the dividends are big compared to bbca if you want bmri wait for a little retracement from the ath at then just try averaging if you have extra money another option is bbri,Positive
2024-02-19 04:30:09+00:00,bnga is good if you buy bca you only get lot,Positive
2024-02-19 03:32:21+00:00,steal of bbca shares,Positive
2024-02-19 03:10:17+00:00,bbca the number stock in indonesia but if its too expensive its better to buy bbri a stateowned bank with the largest number of branches and atm services in indonesia,Positive
2024-02-19 02:55:05+00:00,shm if you have million its better to go to bbcabmribbribnga,Neutral
2024-02-19 01:48:23+00:00,trading idea monday bbri bren cuan adro bfin and inco ihsg technical view ihsg closed up yesterday and was accompanied by a foreign net buy of trillion the stocks most bought by foreigners were bbca tlkm bbri bmri and asii,Positive
2024-02-19 00:30:25+00:00,im a big jumbo bank with all time highs my favorite bank stocks dont forget theres a bluechip referral promo you can get shares up to,Positive
2024-02-18 12:23:54+00:00,buy bca shares bro just lots no need for a lot,Positive
2024-02-18 08:13:07+00:00,fixed rate government bonds are indeed a good investment but i prefer mutual funds while waiting for the stock market to crash again like during the covid pandemic once the market crashes withdraw mutual funds and switch to stocks buy up bbca bbri bmri lol,Positive
2024-02-18 06:27:34+00:00,just suggest fr bonds sbn or blue chip stocks like bbca bbri bmri it all depends on your risk profile bro,Neutral
2024-02-18 05:08:54+00:00,my stomach acid is rising like bca shares,Positive
2024-02-18 05:06:22+00:00,annual profit must increase dividends bigger bbca investor mandate shm,Positive
2024-02-18 03:45:01+00:00,low risk is really safe its better to buy ori on the bibit app medium risk is waiting for the indonesian market to catch fire and then buy bbcabbri shares at the bottom high risk is used to buy and sell used cars the value proposition is used by the governors automatic car,Neutral
2024-02-18 01:24:26+00:00,shares are also haram if you dont analyze them first they fall into speculation gharar after speculating you can dca bbca bbri shares,Neutral
2024-02-17 13:45:25+00:00,thats right i have shares in bca you know,Positive
2024-02-17 11:13:33+00:00,lo kheng hong considers bca bbca to be a wonderful company because in years its shares have continued to soar,Positive
2024-02-17 10:03:17+00:00,if i put it in my tmrw i will deposit it for a year or not buying bbca or itmg shares is quite good hahaha its easy to withdraw just buy a ticket or use the money before weeks just withdraw it,Positive
2024-02-17 05:38:05+00:00,foreign investors are enthusiastically buying up bbri bmri bbca shares during the presidential election,Positive
2024-02-17 05:28:36+00:00,is enough to eat on a budget is enough to gamble buying bca shares is definitely worth it,Positive
2024-02-17 04:46:36+00:00,see the account of one of the stock influencers he dca bbca shares every month consistently has returned for years can this be imitated because im still confused about saving for my childs education costs this is a lot lets try okay,Positive
2024-02-17 03:15:15+00:00,in year the movement of the ratio of the warteg stock portfolio by jo ot b neh february to february it turns out that ths from invested stocks only stocks remained naek bbca bbri byan mapi midi n imas but still cute positive on warteg as of february,Neutral
2024-02-17 03:11:28+00:00,i have a budget of saving million every month i want to save lot of bca shares every month where else can i save the rest i already have an emergency fund of times my expenses so i dont think about it anymore,Positive
2024-02-17 01:41:50+00:00,bbri only has online gms if you have scriptless shares cannot come to offline gms between bbca or bmri it is better to come to bmri gms,Neutral
2024-02-16 12:48:04+00:00,shm guys who have attended the bbri bbca bmri gms which souvenir is better hahaha honestly i can only attend one but im still confused about which one to attend,Neutral
2024-02-16 10:16:31+00:00,this is the spec of my fathers son is he riding an alphard at least if you want to get close to deline you should buy at least lots of bbca shares first,Positive
2024-02-16 09:49:28+00:00,bca shares k bro,Positive
2024-02-16 07:36:35+00:00,in the past i was all nder bbca too but now im quite into bmri in my opinion bmris growth is quite fast its dividends are also bigger than the others,Positive
2024-02-16 06:13:12+00:00,for those who want to buy bbca shares you can buy them directly at stockbit download stockbit at,Neutral
2024-02-16 05:49:35+00:00,conglomerate anthoni salim is still listed as one of the shareholders of pt bank central asia tbk bbca or bca,Neutral
2024-02-16 05:06:31+00:00,oh yeah bro i want to ask i only have lot of bbca the average is should i sell it on the ex date or just hold it thank you,Neutral
2024-02-16 04:08:46+00:00,you can try it if its a longterm investment save bbca and bbri shares try calculating the price development and dividends it should be safe and profitable if its an investment,Positive
2024-02-16 04:00:38+00:00,i wont sell it either but i really want to have a lot of bca shares,Positive
2024-02-16 03:41:56+00:00,one example he mentioned bbca shares which in rupiah seemed to rise high but when converted to us dollars it was not so bbca shares he said did not go anywhere,Negative
2024-02-16 03:41:30+00:00,bbca breaks through rp reminds me of a conversation with a friend who was afraid that his stock investment would still be eroded by inflation and the weakening of the rupiah exchange rate,Negative
2024-02-16 03:12:44+00:00,bca shares rise happy,Positive
2024-02-16 02:56:46+00:00,bbca date recorded when,Neutral
2024-02-16 02:44:37+00:00,sell or hold this have you found out how much bbcas dividend is if you sell when is the best time to do it,Neutral
2024-02-16 02:43:04+00:00,bbca bmri two banking stocks that i really love almost return in a year i think,Positive
2024-02-16 02:31:09+00:00,weww shm bca ath,Positive
2024-02-16 02:27:35+00:00,bca bbca shares moved in the green zone at the start of trading session i on february,Positive
2024-02-16 02:25:25+00:00,but thanks mr wowo the indonesian stocks are up especially bbca and other mining materials btc up k thanks a,Positive
2024-02-16 02:05:13+00:00,bbca shares touch sir oh my ive won im grateful,Positive
2024-02-16 00:52:20+00:00,friday trading film bren aces jsmr medc klbf ihsg technical view ihsg closed up yesterday and was accompanied by a foreign net buy of trillion the stocks most bought by foreigners were bmri bbca bbri bbni and tlkm,Positive
2024-02-16 00:04:08+00:00,bca will hold an agm on march and one of the agenda items will be the determination of the use of net profit,Neutral
2024-02-15 19:14:49+00:00,how long are you going to keep ranting cant just enjoy it prabowo won on the th indonesian stocks were green like bbca coal nickel,Positive
2024-02-15 15:21:54+00:00,m just for forex is already very wrong lol just buy bcamandiri shares or buy bonds thats more than enough lol,Positive
2024-02-15 14:04:32+00:00,for dividends okay but it wont go anywhere better to just go to a big bank bbca bbri bmri bbni,Positive
2024-02-15 13:01:41+00:00,bbca shares lots,Positive
2024-02-15 12:52:12+00:00,only accept bca shares,Positive
2024-02-15 11:42:02+00:00,pen has btc and lots of bbc shares,Positive
2024-02-15 10:04:03+00:00,this will encourage investors to avoid fried stocks by buying shares from good companies such as bca at more affordable prices according to their abilities,Positive
2024-02-15 10:03:08+00:00,bbca shares bought up by foreigners sets record highest price,Positive
2024-02-15 10:01:49+00:00,guys i got an invitation to attend the shm bbca agms when i opened my email i only have lot and am still a novice in this matter what should i do thank you,Neutral
2024-02-15 09:28:40+00:00,kalau gojek merger dengan grab promonya jadi makin dikit or banyak ya promo referral bluechip dapat saham hingga,Neutral
2024-02-15 07:17:41+00:00,oh my gosh bca shares are going up im happy,Positive
2024-02-15 05:59:55+00:00,similar to lo kheng hong this is the stock investment strategy of the bca boss,Neutral
2024-02-15 05:37:34+00:00,ihsg session i shines bca bri bni btn and cimb share prices fly,Positive
2024-02-15 05:27:25+00:00,bca shares continue to rise,Positive
2024-02-15 05:08:49+00:00,yay can you all have bca shares,Positive
2024-02-15 04:24:37+00:00,when asked what you wanted to buy the answer was bca shares dont hit your head bro,Positive
2024-02-15 02:21:15+00:00,bank shares are all crazy again bbca on the way co,Positive
2024-02-15 02:13:52+00:00,after yesterdays qc version won the share prices of stateowned banks and bca have increased quite a lot,Positive
2024-02-15 02:12:15+00:00,ihsg likes the election results it reached bbca shares almost thousand,Positive
2024-02-15 02:07:57+00:00,ihsg rebounded a sign of market optimism and it is no wonder the big four that were most bought this morning after the election were banking stocks bbri bbca bmri bbni,Positive
2024-02-14 14:36:55+00:00,i still own bbca shares,Positive
2024-02-14 13:31:08+00:00,if i were you lots of bbca shares would be enough mas rom,Positive
2024-02-14 13:10:30+00:00,if bbri bbc are stocks are the regulations different from mutual funds,Neutral
2024-02-14 11:20:53+00:00,what stocks do you recommend i just want bbca and bbri but they havent gone down yet i want to buy them,Positive
2024-02-14 07:30:28+00:00,i want adaro shares but im embarrassed bro so i just read it,Positive
2024-02-14 06:59:26+00:00,its really beneficial especially the stock slot how come bca doesnt even want freeport shares haha,Positive
2024-02-14 06:18:54+00:00,i dont need flowers i dont need chocolate i just need of bca shares,Positive
2024-02-14 02:07:15+00:00,is clearly good unmatched blue chip stocks bca bri bni telkom automatically gacor boss,Positive
2024-02-13 19:31:41+00:00,accepting dawn raids of at least lots of bbca shares,Positive
2024-02-13 19:09:18+00:00,not too much sir grams of pure gold and lots of bbca shares paid in cash,Positive
2024-02-13 16:42:53+00:00,buy kai shares bca shares house in bsd car motorbike private jet aamiinn,Positive
2024-02-13 05:48:48+00:00,shm bbca if gainya is taken every year is it still good because i want an investment that gives a return of per year,Neutral
2024-02-13 00:47:13+00:00,btw bbca and bank mandiri shares have been on fire since january likewise bbri and bbni shares,Positive
2024-02-13 00:29:36+00:00,as a layman who has quite a lot of shares in banking the podcast about mr akbar faizals uncensored debt makes me nervous when should i sell these bank shares with beautiful numbers fyi i have bbr shares at a very good number bbca and bbni also bought small numbers,Negative
2024-02-12 22:33:30+00:00,if i were you i would buy shares that practice usury bbca bbri,Positive
2024-02-12 11:54:15+00:00,since valentines day is synonymous with chocolate i dont want to eat chocolate so im hoping to give you lot of bbc shares,Positive
2024-02-12 11:02:05+00:00,bbcas stock price record reaches rp trillion,Positive
2024-02-12 10:30:10+00:00,if the contents are sheet not lot of bbca shares what should i do sir should i keep it or throw it away,Neutral
2024-02-12 08:54:51+00:00,shm on the idx website only bbca financial reports are released this is an investor reference website but why isnt it updated,Neutral
2024-02-12 08:34:32+00:00,but for gram of gold you can get lot of bca shares not even million,Positive
2024-02-12 04:10:05+00:00,if gold is not an investment its savings if you want to invest safely just go to bibit buy a capital market mutual fund with a small risk not stocks or you can just deposit it in bcamaybank first i have a minimum of million if in a digital bank the minimum is million,Neutral
2024-02-11 14:30:47+00:00,lily tulip red rose anything as long as its dark chocolate cheese cake or es teler cake or red velvet union ice cream i like vanilla bbc shares,Positive
2024-02-11 13:42:41+00:00,from the beginning better invest in bbca and bitcoin aja anjirr too fomo sii all stocks amp coin bought,Positive
2024-02-11 04:04:36+00:00,bbca shares lots,Positive
2024-02-11 00:10:03+00:00,bought bca shares,Positive
2024-02-10 23:25:14+00:00,i still have a lot of bitcoins bro i also have a lot of bbca and bbri stocks god willing in the next years dont let yourself be poor people with low human resources like you and poor brains wont understand bitcoins and stocks,Positive
2024-02-10 15:00:09+00:00,finally i have a new dream yes thats right i have lots of bca shares,Positive
2024-02-10 11:26:28+00:00,if from the beginning parents prefer to stock up on bbca or bbri shares instead of things they dont use maybe my family has been rich for seven generations,Positive
2024-02-10 02:51:56+00:00,happy chinese new year warteg by jos stock portfolio transaction management cute ratio is more positive mapi imas bbca bbri midi chinese year of rabbit period,Positive
2024-02-09 15:06:06+00:00,just ask for raw materials to save mutual funds and stocks yes you can bbca bbni bbri bmri each with lots so that you can be independent and not ask for snacks often,Positive
2024-02-09 14:08:04+00:00,buy bca shares first,Positive
2024-02-09 11:30:00+00:00,list of foreign investors favorite stocks this week bmri bbca et al enter the list,Positive
2024-02-09 11:11:06+00:00,or do you have lots of bca shares,Positive
2024-02-09 11:07:30+00:00,first of all buy bca shares then buy an island and dont forget a private jet,Positive
2024-02-09 09:52:02+00:00,bbca shares lots,Positive
2024-02-09 09:26:00+00:00,lots of bca shares,Positive
2024-02-09 09:14:07+00:00,buy million lots of bca shares first,Positive
2024-02-09 07:37:34+00:00,before chinese new year holiday foreign investors buy up bmribbca shares,Positive
2024-02-08 22:02:56+00:00,bbca share recommendation for lot,Positive
2024-02-08 07:30:57+00:00,maw saham bca,Positive
2024-02-08 02:35:12+00:00,prof are stocks affected by inflation even bbca which is now considered by gen z to be only around thousand is actually several times the price for gen boomer,Neutral
2024-02-07 15:12:58+00:00,bismillah bca shares lots,Positive
2024-02-06 16:53:24+00:00,bbca shares lots,Positive
2024-02-06 16:33:25+00:00,bbca shares,Positive
2024-02-06 13:35:46+00:00,cute admr arto asii bbca bbri hero mapi stocks these stocks evenly reap cute in the warteg portfolios by jo stocks ot b ot c ot p so as of january the trend is even up compared to january,Positive
2024-02-06 11:06:34+00:00,looking at the feng shui of goto amp bbca stocks in the year of the wood dragon,Neutral
2024-02-06 08:38:35+00:00,if you want shares just choose the blue chip ones like bca the one thats currently bullish is bsi,Positive
2024-02-06 07:06:31+00:00,if youre a teller its better to go to bca if youre a stock trader its better to go to bri,Positive
2024-02-06 06:47:19+00:00,its actually a gimmick to get shares in bca,Positive
2024-02-06 02:58:09+00:00,wants lots of bca bri indofood shares each,Positive
2024-02-06 02:41:09+00:00,bbri bbca and akra shares support bisnis index on green track,Positive
2024-02-06 02:22:12+00:00,ihsg opens stronger bbca antm and ptro shares soar,Positive
2024-02-05 13:08:52+00:00,im scared sis yesterday i heard a story about someone buying bbca shares using their salary money then the shares went down,Negative
2024-02-05 12:59:47+00:00,ill give you of bca shares honey,Positive
2024-02-05 12:52:10+00:00,guess who my favorite mutual is the correct one is i give of bca shares,Positive
2024-02-05 11:53:05+00:00,ahead of dividend season take a closer look at bbca adro and asii shares,Positive
2024-02-05 11:52:13+00:00,list of stock purchases bca bca bca,Positive
2024-02-05 11:38:58+00:00,keep working until you have at least lots of bca shares,Positive
2024-02-05 09:45:28+00:00,is so cute so get along with ai and pipihhhh so i can buy you bca shares,Positive
2024-02-05 04:36:06+00:00,sdf dividend sender stocks are only bbca bbr pssi powr jaya camp and also antm if all the lots are added for investment until the age of is it good or not,Neutral
2024-02-05 04:11:57+00:00,then work until you have at least lots of bca shares,Positive
2024-02-05 04:05:00+00:00,pt bank central asia tbk bbca has published its financial report bbcas revenue increased by and net profit attributable to owners of the parent entity grew by compared to the same period last year,Positive
2024-02-05 03:03:08+00:00,following morgan stanley jp morgan revises bca bbca stock rating,Neutral
2024-02-05 01:01:57+00:00,want to join in investing in stocks hiks bca keeps going up ingazllael mon feb bbca shares lots,Positive
2024-02-04 01:59:58+00:00,sdf do bbri bbca powr jaya camp pssi stocks have dividends or not,Neutral
2024-02-03 16:53:40+00:00,untr shares lots bmri shares lots itmg lots bbr lots bbca lots if you cant just sbm m so that you can work calmly and have a calm monthly income,Positive
2024-02-03 15:23:46+00:00,adro is good take banking too under bbca bbri bmri bbni one or two depending on the capital wkwkw,Positive
2024-02-03 04:50:58+00:00,compare ths bbri in the period july to february is not more consistent if compared with ths bbca but the upward trend of cute bbri in the by jo stock warteg portfolio times still quite good here,Positive
2024-02-03 02:14:08+00:00,on the other by jo stock warteg portfolio ot c in the observation period from august to february it turns out that ths bbca is also always positive cute is always positive tens of times meaning thousands of percents up neh,Positive
2024-02-03 00:53:27+00:00,just throw it into bbca and bbri then just go to sleep wake up when the dividends are distributed reinvest it into bbca and bbri just like that until you become a billionaire,Positive
2024-02-02 15:50:00+00:00,lianawaty suwono director of pt bank central asia tbk bbca sold of her bbca shares at an average price of rp per share on january after the transaction lianawaty suwono owned bbca shares,Neutral
2024-02-02 13:08:12+00:00,its better to buy lots of bca shares and lots of bri shares,Positive
2024-02-02 12:08:27+00:00,there is an analysis task should i buy adro or bbri stocks because bbca is a safer option but has a lot of expenses it is only needed for the task not for longterm investment,Neutral
2024-02-02 09:01:14+00:00,those who own bca shares in are definitely very happy now,Positive
2024-02-02 03:31:00+00:00,bca securities phillips securities are not available i use these securities poems used to have k realtime data but now it seems to be free,Neutral
2024-02-01 15:47:20+00:00,can i buy bbca shares sis,Positive
2024-02-01 13:25:00+00:00,pt bank central asia tbk bbca will hold the annual on march at wib shareholders whose names are registered in the bbca shareholders register on february at wib are entitled to attend or be represented at the event,Neutral
2024-02-01 11:27:38+00:00,its the same as stock trading abcdef analysis staring at the chart but it turns out that the growth portfolio is inferior to bca its better to go all in bca,Positive
2024-02-01 10:24:10+00:00,bbri and bbc are actually safe the risk is small but the other stock has increased drastically from last year until now it has increased like crazy lol i sold a lot on new years,Positive
2024-02-01 09:55:37+00:00,for todays top gainer top loser stocks top gainer cbut rp bbca rp smgr rp top loser dcii rp smma rp itmg rp,Neutral
